datazone,retailer_count,total_population,simd_decile,simd_rank,simd_quintile,income_rank,health_rank,employment_rank,education_rank,access_rank,crime_rank,housing_rank,alcohol_admissions,drug_admissions,smoking_rate,urban_rural,retailers_adj,income_quintile,access_quintile,urban_rural_2cat
S01006506,34,894,7,4691,4,3936,5174,3220,5887,4724,4664,3248,29,30,9.09,Accessible Small Towns,38.03131991051454,Third,Fourth,Urban
S01006507,19,793,7,4862,4,4829,5051,4481,4384,2148,4602,3486,130,126,11.11,Accessible Small Towns,23.95964691046658,Fourth,Second,Urban
S01006508,16,624,9,5686,5,4460,5942,5110,5915,4200,4563.5,5342,71,18,4.76,Accessible Small Towns,25.64102564102564,Fourth,Fourth,Urban
S01006509,12,537,7,4332,4,3481,3871,3229,6401,3982,5626,4394.5,80,28,17.65,Accessible Small Towns,22.3463687150838,Third,Third,Urban
S01006510,20,663,6,3913,3,3344,3049,3448,4092,5588,3885,3736,89,44,12.5,Accessible Small Towns,30.165912518853695,Third,Least deprived,Urban
S01006511,17,759,9,6253,5,5469,5783,5346,5410,4974,6928,5924,55,0,0,Accessible Small Towns,22.397891963109355,Fourth,Fourth,Urban
S01006512,27,539,9,5692,5,6264,6586,6206,6506,547,4528,4815,29,0,0,Accessible Rural,50.09276437847866,Least deprived,Most deprived,Rural
S01006513,19,788,9,6177,5,6572,5516,5695,6531,1490,6928,6394,28,0,0,Accessible Small Towns,24.111675126903553,Least deprived,Second,Urban
S01006514,29,1123,10,6715,5,6704,6733,6658,6847,1858,5507,6868,18,0,0,Accessible Small Towns,25.823686553873554,Least deprived,Second,Urban
S01006515,21,816,10,6363,5,6955,6846,6803,6838,659,6844,6174.5,23,0,0,Accessible Small Towns,25.735294117647054,Least deprived,Most deprived,Urban
S01006516,16,629,9,5947,5,6359,6852,5542,6631,1037,4580,6570,19,0,0,Accessible Small Towns,25.437201907790143,Least deprived,Most deprived,Urban
S01006517,38,1052,9,5772,5,6335,6159,5324,6704,931,5594,5892,31,16,0,Large Urban,36.12167300380228,Least deprived,Most deprived,Urban
S01006518,21,664,10,6674,5,6864,6919,6851,6960,1161,6792,6960,11,57,0,Large Urban,31.626506024096383,Least deprived,Most deprived,Urban
S01006519,17,941,9,6229,5,6474,6776,6284,6904,938,5628,6856,4,37,0,Large Urban,18.065887353878853,Least deprived,Most deprived,Urban
S01006520,14,875,10,6490,5,6831,6940,6920,6965,785,6928,6825,25,37,0,Large Urban,16,Least deprived,Most deprived,Urban
S01006521,22,793,10,6519,5,6952,6952,6896.5,6808,904,5889,6869,5,0,0,Large Urban,27.742749054224465,Least deprived,Most deprived,Urban
S01006522,17,675,10,6769,5,6969,6930,6955,6931,1385,6273,6841,12,0,0,Large Urban,25.185185185185187,Least deprived,Most deprived,Urban
S01006523,33,957,10,6504,5,5955.5,6423,6373,6906,2357,5000,6581,51,0,0,Large Urban,34.48275862068965,Least deprived,Second,Urban
S01006524,32,1056,6,4175,3,3368,4161,2956,6256,3281,6586,6240,76,32,0,Large Urban,30.303030303030305,Third,Third,Urban
S01006525,24,904,9,6143,5,5748,5894,5409.5,6810,2432,5803,6259.5,57,38,6.25,Large Urban,26.54867256637168,Least deprived,Second,Urban
S01006526,20,924,4,2538,2,2796,2897,3450,1073,1906,5840,1454,119,68,13.51,Large Urban,21.645021645021643,Third,Second,Urban
S01006527,15,756,3,2030,2,2045,2072,2228,1360,2976,2692,3235,161,258,11.76,Large Urban,19.84126984126984,Second,Third,Urban
S01006528,35,1154,6,3834,3,3529,3285,4079,3178,3717,3786,1723,126,46,12.82,Large Urban,30.329289428076255,Third,Third,Urban
S01006529,17,932,6,3770,3,3619,4117,4557,2612,3842,1432,945,98,13,9.38,Large Urban,18.240343347639485,Third,Third,Urban
S01006530,18,785,4,2218,2,2282,2679,2360,1021,5745,2494,1626.5,117,115,30,Large Urban,22.929936305732483,Second,Least deprived,Urban
S01006531,20,946,3,1611,2,1802,1933,2419,320,5143,2237,1122,187,165,42.11,Large Urban,21.14164904862579,Second,Fourth,Urban
S01006532,18,793,9,5977,5,5440,5684,5265,6177,3920,3342,6110,20,0,0,Large Urban,22.69861286254729,Fourth,Third,Urban
S01006533,22,717,10,6786,5,6688,6790,6361,6781,3089,4095,6946,25,0,0,Large Urban,30.683403068340308,Least deprived,Third,Urban
S01006534,21,956,10,6831,5,6483,6760,6616,6588,4158,3383,6168,38,14,0,Large Urban,21.966527196652716,Least deprived,Third,Urban
S01006535,23,1046,10,6734,5,6182,6633,6081,6174,5586,4257,2839,36,50,3.57,Large Urban,21.988527724665392,Least deprived,Least deprived,Urban
S01006536,27,1003,9,5634,5,5325,5967,5383,4874,5925,1729,1197,81,28,6.06,Large Urban,26.91924227318046,Fourth,Least deprived,Urban
S01006537,26,920,10,6664,5,6697,5227,6758,6845,2127,6866,6398,119,265,3.57,Large Urban,28.26086956521739,Least deprived,Second,Urban
S01006538,12,548,10,6457,5,6724,6474,6391,6537,1286,6731,6461.5,51,0,6.67,Large Urban,21.897810218978105,Least deprived,Most deprived,Urban
S01006539,14,781,10,6727,5,6250.5,6374,6109,6757,3394,5867,6328,0,0,4.17,Large Urban,17.92573623559539,Least deprived,Third,Urban
S01006540,28,933,10,6478,5,6516,6597,5795,6561,2417,5378,4761,23,0,3.57,Large Urban,30.010718113612004,Least deprived,Second,Urban
S01006541,24,864,10,6548,5,5792,5596,5861,6878,3887,6463,6619,14,0,4.76,Large Urban,27.777777777777775,Least deprived,Third,Urban
S01006542,32,1131,10,6751,5,6862,6667,6611,6535,2069,5703,6239,23,15,0,Large Urban,28.29354553492484,Least deprived,Second,Urban
S01006543,22,792,10,6756,5,6641,5682,6493,6676,2700,6928,6900,66,22,5.88,Large Urban,27.777777777777775,Least deprived,Second,Urban
S01006544,35,1283,10,6937,5,6644,6511,6927,6534,4316,6663,3379.5,21,20,5,Large Urban,27.279812938425565,Least deprived,Fourth,Urban
S01006545,28,1120,10,6594,5,6217.5,6012,5967,6408,4572,3834,4757,42,75,0,Large Urban,25,Least deprived,Fourth,Urban
S01006546,18,624,10,6951,5,6663.5,6305,5953,6966,6399,6928,6799,22,48,0,Large Urban,28.846153846153847,Least deprived,Least deprived,Urban
S01006547,43,1242,6,3784,3,4021,4381,3752,6395,661,2085,4090,139,124,5.17,Large Urban,34.62157809983897,Third,Most deprived,Urban
S01006548,19,658,10,6455,5,6623,6698,6264,6765,1259,6928,6499,5,0,0,Large Urban,28.87537993920973,Least deprived,Most deprived,Urban
S01006549,34,796,10,6820,5,6908,6466,6827,6819,2363,5084,6004,38,0,0,Large Urban,42.713567839195974,Least deprived,Second,Urban
S01006550,30,900,10,6760,5,6875,6378,6706,6963,2008,5324,6585,19,0,0,Large Urban,33.333333333333336,Least deprived,Second,Urban
S01006551,15,704,3,1474,2,1882,2047,999,3550,1754,523,1502,307,63,0,Large Urban,21.30681818181818,Second,Second,Urban
S01006552,19,884,9,6084,5,5879,6688,6124,5534,1694,5052,6637,62,15,0,Large Urban,21.493212669683256,Least deprived,Second,Urban
S01006553,22,903,8,5280,4,5211,4149,4719,5829,2781,4687,4628,20,20,18.75,Large Urban,24.36323366555925,Fourth,Second,Urban
S01006554,25,777,6,3924,3,3537,4396,3857,4216,4460,923,2235,26,35,7.69,Large Urban,32.17503217503218,Third,Fourth,Urban
S01006555,20,732,3,1608,2,2495,1362,1432,2039,2597,463,1067,247,488,29.41,Large Urban,27.3224043715847,Second,Second,Urban
S01006556,19,804,4,2292,2,2037,2261,1937,3187,4613,2882,1660,75,166,21.43,Large Urban,23.6318407960199,Second,Fourth,Urban
S01006557,13,679,3,1446,2,1871,1076,1328,1680,1835,3052,2323,207,145,20.83,Large Urban,19.145802650957293,Second,Second,Urban
S01006558,16,596,10,6797,5,6207,6490,6023.5,6707,6316,4134,2751,25,0,0,Large Urban,26.845637583892614,Least deprived,Least deprived,Urban
S01006559,18,601,10,6972,5,6709,6845,6749,6918,6569,4464,5199,6,0,0,Large Urban,29.950083194675543,Least deprived,Least deprived,Urban
S01006560,31,1018,10,6953,5,6498.5,6048,6817,6720,6116,5547,5876,48,14,0,Large Urban,30.45186640471513,Least deprived,Least deprived,Urban
S01006561,20,728,10,6975,5,6888,6714,6873,6629,6844,3906,6509,88,0,0,Large Urban,27.47252747252747,Least deprived,Least deprived,Urban
S01006562,20,972,7,4724,4,4550,4127,3514,5671,3680,4252,4177.5,78,16,9.68,Large Urban,20.5761316872428,Fourth,Third,Urban
S01006563,87,677,8,5035,4,5609.5,4954,4939,6349,5453,90,2829,11,0,5.56,Large Urban,128.50812407680945,Least deprived,Fourth,Urban
S01006564,24,1007,5,3336,3,3294,3595,3088,2578,6560,2221,608,71,65,10.34,Large Urban,23.83316782522344,Third,Least deprived,Urban
S01006565,21,1000,6,3653,3,3675,4499,3803,2041,5613,3067,140,93,61,10.34,Large Urban,21,Third,Least deprived,Urban
S01006566,21,761,9,5826,5,4950,5938,5202,5650,6722,2545,1947,26,68,4.35,Large Urban,27.59526938239159,Fourth,Least deprived,Urban
S01006567,22,744,4,2656,2,2757,3028,2013,3539,6205,1695,275,144,123,6.67,Large Urban,29.56989247311828,Second,Least deprived,Urban
S01006568,24,921,9,5931,5,5946,6234,5682,4018,6846,2570,649,57,29,0,Large Urban,26.058631921824105,Least deprived,Least deprived,Urban
S01006569,13,561,8,5320,4,4657,4850,4000,6566,6720,3977,1285,92,20,9.52,Large Urban,23.172905525846705,Fourth,Least deprived,Urban
S01006570,19,739,10,6963,5,6712,6906,6683,6727,6493,4688,4238,0,0,3.23,Large Urban,25.71041948579161,Least deprived,Least deprived,Urban
